;cluster;element
136;136;[['647.740741', '183.587104', '658.840574', '200.975978', 'n'], ['658.780736', '188.291460', '674.164532', '201.108070', '29'], ['675.940730', '186.469233', '684.504745', '198.871333', '`'], ['684.580726', '189.840329', '698.342945', '198.960974', '0,5']]
137;137;[['1251.579502', '89.162099', '1260.241052', '100.440512', '5°']] [['1238.619505', '80.271514', '1246.483466', '92.670957', '`'], ['1246.539501', '87.002101', '1251.573457', '96.120516', '4']]
138;138;[['1613.740655', '16.211529', '1629.124509', '29.028139', '12']]
139;139;[['1398.230976', '242.376078', '1411.047586', '250.079900', '5'], ['1395.459847', '234.361573', '1404.580491', '240.119904', '+'], ['1403.619844', '235.636472', '1412.740488', '238.919904', '-'], ['1394.859847', '214.597663', '1403.980492', '233.879906', '0,03'], ['1393.526620', '184.500450', '1410.915494', '210.719916', 'É'], ['1404.579843', '228.397660', '1413.700488', '233.879906', '0']]
140;140;[['1217.139513', '73.093945', '1236.388601', '92.027408', '45°']] [['1175.259530', '51.819971', '1189.100857', '71.015656', 'Y'], ['1194.819532', '51.819971', '1201.729820', '71.015656', '('], ['1207.539550', '51.819971', '1230.597415', '71.015656', '10'], ['1236.459528', '51.819971', '1242.228477', '71.015656', ':'], ['1247.979613', '51.819971', '1259.517511', '71.015656', '1'], ['1265.259623', '51.819971', '1272.169911', '71.015656', ')']]
141;141;[['1257.591033', '174.696089', '1270.407642', '201.719919', '0,15'], ['1254.459903', '166.561602', '1263.580548', '172.319933', '+'], ['1263.939900', '167.836500', '1273.060544', '171.119932', '-'], ['1254.459903', '160.597687', '1263.580548', '166.079934', '0'], ['1264.299899', '146.797690', '1273.420544', '166.079934', '0,15']]
142;142;[['662.500742', '156.493919', '666.896688', '169.307390', '°']] [['650.260740', '147.133914', '662.491106', '164.627387', '30']]
143;143;[['1472.020711', '16.211529', '1487.404566', '29.028139', '11']]
144;144;[['965.154963', '137.802569', '981.207960', '151.079919', '4x'], ['972.714948', '118.015049', '989.607477', '134.159946', 'R5']]
145;145;[['566.141179', '136.597692', '575.261823', '150.239940', '0,1']] [['570.232308', '158.856112', '583.048917', '166.559933', '1'], ['566.741178', '150.841606', '575.861823', '156.599937', '+'], ['575.621175', '152.116506', '584.741819', '155.399938', '-'], ['575.861175', '136.597692', '584.981819', '150.239940', '0,5']]
146;146;[['1330.300768', '16.211529', '1345.684622', '29.028139', '10']]
147;147;[['820.420672', '85.211502', '847.444458', '98.028111', '0,25'], ['849.700658', '81.960372', '855.458989', '91.081017', '+'], ['850.900660', '91.440369', '854.184092', '100.561013', '-'], ['855.940658', '81.960372', '861.422904', '91.081017', '0'], ['855.940658', '91.800368', '875.102857', '100.921013', '0,25']]
148;148;[['536.873313', '215.759904', '551.606776', '225.783307', ',6']]
